,molecular mass,mlogp,tpsa,HAccept,HDon,nrotate,carboxylic acid,carboxylate,ester,ether,alcohol,amide,primary amine,secondary amine,4 valenced nitrogen,tertiary amine,keton,cyanide,epoxide,sulfonyl,cyclohexane,piperidine,pyrrolidine,benzene,Methoxybenzene,methylaniline,Phenethylamine,pyridine,pyrrole,fluorine,lat1,lacc,6 atom ring,common atoms in fused 6 atom rings,opioid feature
0,259.34344,2.7208,41.49,3,2,6,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0
0,418.44034,1.5792,123.88,9,1,10,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,454.60162,4.3498,66.18,6,0,14,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2,4,0,2,0,0,0,0,3,2,0,1
0,459.5502632,3.255,102.18,7,3,12,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,0,0
0,242.6987,2.6865,38.69,3,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
0,60.05526,-1.8203,72.27,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,323.12938,0.0591,116.42,7,3,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,364.4161,2.1762,128.2,7,4,8,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,2,2,0,0
0,474.5764,0.666400000000005,115.73,10,1,7,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0
0,489.9221264,4.0361,96.78,8,2,7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,2,0,1,1,1,1,2,0,1,3,0,0
0,230.25916,2.1646,49.69,3,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,2,0
0,272.38196,3.3608,40.46,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,3,4,0
0,357.48644,4.3351,52.93,4,1,11,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
